#This is a file containing the parameters and errors involved in the best fit of a KIC's time vs frequency data                                                                                                                                                                                
           #KIC               N     best degree       chiSquare             X^3             X^2             X^1             X^0          Error3          Error2          Error1          Error0
      001572802              15               0          0.0011               0               0               0         -0.0282               0               0               0          0.0617
      001721614              17               0          0.0002               0               0               0         -0.0069               0               0               0          0.0249
      001783204              16               0          0.0004               0               0               0         -0.0118               0               0               0          0.0365
      002305277              16               0          0.0013               0               0               0         -0.0207               0               0               0          0.0662
      002985366               5               0          0.0029               0               0               0         -0.0609               0               0               0          0.0976
      003234139              17               0          0.0003               0               0               0         -0.0092               0               0               0          0.0321
      003441906              16               0          0.0002               0               0               0         -0.0078               0               0               0          0.0242
      003539331              16               0          0.0002               0               0               0         -0.0040               0               0               0          0.0255
      003557532              13               0          0.0001               0               0               0         -0.0066               0               0               0          0.0183
      003832966              17               0          0.0010               0               0               0          0.0042               0               0               0          0.0611
      004349043              17               0          0.0003               0               0               0         -0.0063               0               0               0          0.0305
      005033682              18               0          0.0034               0               0               0         -0.0329               0               0               0          0.1035
      009511937              14               0          0.0015               0               0               0         -0.0543               0               0               0          0.0721
