#This is a file containing the parameters and errors involved in the best fit of a KIC's time vs frequency data                                                                                                                                                                                
           #KIC               N     best degree       chiSquare             X^3             X^2             X^1             X^0          Error3          Error2          Error1          Error0
      001572802              14               0          3.3946               0               0               0          0.1964               0               0               0          0.1214
      001721614              16               0          0.6068               0               0               0          0.0705               0               0               0          0.0340
      001783204              14               0          0.1337               0               0               0          0.0334               0               0               0          0.0142
      002305277              15               0          2.6490               0               0               0          0.1951               0               0               0          0.0882
      002985366               5               0          7.8598               0               0               0          0.1904               0               0               0          0.2092
      003234139              17               0          0.6158               0               0               0          0.0902               0               0               0          0.0389
      003441906              16               0          0.5693               0               0               0          0.0846               0               0               0          0.0362
      003539331              16               0          0.5254               0               0               0          0.1097               0               0               0          0.0381
      003832966              17               0          1.1844               0               0               0          0.1224               0               0               0          0.0931
      004349043              17               0          0.9554               0               0               0          0.0992               0               0               0          0.0520
      005033682              17               0          1.5578               0               0               0          0.6145               0               0               0          0.1380
