#This is a file containing the parameters and errors involved in the best fit of a KIC's time vs frequency data                                                                                                                                                                                
           #KIC               N     best degree       chiSquare             X^3             X^2             X^1             X^0          Error3          Error2          Error1          Error0
      001572802              15               0          2.4351               0               0               0          0.1649               0               0               0          0.0987
      001721614              15               0          0.4012               0               0               0          0.0491               0               0               0          0.0253
      001783204               4               0          0.0712               0               0               0          0.0215               0               0               0          0.0084
      002305277              16               0          4.5337               0               0               0          0.1800               0               0               0          0.0964
      002985366               5               0          3.2289               0               0               0          0.1287               0               0               0          0.1028
      003234139              17               0          0.2865               0               0               0          0.0558               0               0               0          0.0223
      003441906              15               0          0.3595               0               0               0          0.0532               0               0               0          0.0259
      003539331              15               0          0.3900               0               0               0          0.0774               0               0               0          0.0346
      003832966              16               0          1.1982               0               0               0          0.0822               0               0               0          0.0781
      004349043              17               0          0.3438               0               0               0          0.0578               0               0               0          0.0316
      005033682              18               0          2.7709               0               0               0          0.5159               0               0               0          0.1538
